step,value,metric,run
98304,1.0,per_learner/5/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/6/correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
32768,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
65536,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
75000,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
98304,0.0,per_learner/6/mastered_count,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9991463422775269,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9993281960487366,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9982585310935974,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9986639022827148,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9989925026893616,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9996920228004456,per_learner/6/p_correct,runs\ab_balanced_items200_h1000\PPO_2
25000,0.9992133975028992,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_2
32768,0.9991679191589355,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_2
50000,0.9994353652000427,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_2
65536,0.9993340373039246,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_2
75000,0.9992519021034241,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_2
98304,0.9990769624710083,per_learner/6/reward,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
75000,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
98304,1.0,per_learner/6/rolling_acc,runs\ab_balanced_items200_h1000\PPO_2
25000,1.0,per_learner/7/correct,runs\ab_balanced_items200_h1000\PPO_2
32768,1.0,per_learner/7/correct,runs\ab_balanced_items200_h1000\PPO_2
50000,1.0,per_learner/7/correct,runs\ab_balanced_items200_h1000\PPO_2
65536,1.0,per_learner/7/correct,runs\ab_balanced_items200_h1000\PPO_2
